,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
5410,1 win & 4 nominations.,USA,09 Feb 2010,Peter Billingsley,"English, Ukrainian",23,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",https://ia.media-imdb.com/images/M/MV5BMTQxMjI1Nzc0M15BMl5BanBnXkFtZTcwMTc0Mzg2Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,5.5/10,Internet Movie Database,09 Oct 2009,True,113 min,Couples Retreat,movie,http://www.couplesretreatmovie.com/,2009,tt1078940,5.5,"89,828"
5413,5 nominations.,UK,23 Feb 2010,Tom Hooper,English,81,The story of the controversial Brian Clough's 44-day reign as the coach of the English football club Leeds United.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMzkzMjM0MV5BMl5BanBnXkFtZTcwNzE3NTU3Mg@@._V1_SX300.jpg,Sony Pictures Classics,R,7.6/10,Internet Movie Database,27 Mar 2009,True,98 min,The Damned United,movie,http://www.sonyclassics.com/thedamnedunited/,2009,tt1226271,7.6,"35,698"
5416,N/A,USA,16 Feb 2010,Jimmy Nickerson,English,N/A,A washed-up trainer takes a self-destructive young boxer under his wing.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMzUyNzMwNF5BMl5BanBnXkFtZTcwMTgzMDk4Mg@@._V1_SX300.jpg,Roadside Attractions,PG-13,5.3/10,Internet Movie Database,09 Oct 2009,True,96 min,From Mexico with Love,movie,http://www.frommexicowithlove.com/,2009,tt0457355,5.3,478
5417,5 wins & 8 nominations.,USA,16 Feb 2010,Jeff Stilson,English,72,Chris Rock explores the wonders of African-American hairstyles.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0Mjk3OTgwNl5BMl5BanBnXkFtZTcwMTgwOTg3Mg@@._V1_SX300.jpg,Roadside Attractions,PG-13,6.9/10,Internet Movie Database,23 Oct 2009,True,96 min,Good Hair,movie,http://www.goodhairmovie.net/site/,2009,tt1213585,6.9,"4,995"
5420,1 nomination.,USA,09 Feb 2010,Jay DiPietro,English,44,"'Peter and Vandy' is a love story told out of order. Set in Manhattan, the story shifts back and forth in time, juxtaposing Peter and Vandy's romantic beginnings with the twisted, ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNjUxMjk1MF5BMl5BanBnXkFtZTcwNzU3NzM4Mg@@._V1_SX300.jpg,Strand Releasing,NOT RATED,6.4/10,Internet Movie Database,19 Jan 2009,True,95 min,Peter and Vandy,movie,http://www.peterandvandy.com/,2009,tt1144551,6.4,"1,380"
5423,Nominated for 3 Oscars. Another 35 wins & 91 nominations.,"UK, USA",30 Mar 2010,Lone Scherfig,"English, French",85,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_SX300.jpg,Sony Classics,PG-13,7.3/10,Internet Movie Database,05 Feb 2010,True,100 min,An Education,movie,http://www.sonyclassics.com/aneducation/,2009,tt1174732,7.3,"118,256"
5426,N/A,USA,N/A,"Sean Kotz, Christopher Valluzzo",English,N/A,Virginia Creepers examines more than 50 years of television horror hosting in the Commonwealth of Virginia as a reflection of a national cultural phenomenon. The film not only documents ...,http://ia.media-imdb.com/images/M/MV5BMjI2MDQ4ODQ5MF5BMl5BanBnXkFtZTgwNTYwNDA2MDE@._V1_SX300.jpg,N/A,N/A,6.5/10,Internet Movie Database,01 Oct 2009,True,120 min,Virginia Creepers: The Horror Host Tradition of the Old Dominion,movie,N/A,2009,tt1524050,6.5,17
5427,1 win & 5 nominations.,"UK, Australia",02 Feb 2010,Christopher Smith,English,N/A,"A group of friends suffer a yachting accident and take refuge on a cruise drifting on the open sea, but quickly realize they were better off on the upturned yacht",https://ia.media-imdb.com/images/M/MV5BY2VlODI5ZmMtZDExYS00OWI4LWJiMWItZWZkZWRkNzlmZWI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Icon Entertainment International,R,6.9/10,Internet Movie Database,16 Oct 2009,True,99 min,Triangle,movie,http://www.trianglethemovie.co.uk/,2009,tt1187064,6.9,"80,513"
5429,3 wins & 5 nominations.,USA,16 Feb 2010,F. Gary Gray,English,34,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyODY1NTg1N15BMl5BanBnXkFtZTcwMTUyODI4Mg@@._V1_SX300.jpg,Overture Films,R,7.4/10,Internet Movie Database,16 Oct 2009,True,109 min,Law Abiding Citizen,movie,http://www.lawabidingcitizenfilm.com/,2009,tt1197624,7.4,"237,716"
5432,2 nominations.,USA,09 Feb 2010,Nelson McCormick,"English, German",33,"Michael returns home from military school to find his mother happily in love and living with her new boyfriend. As the two men get to know each other, he becomes more and more suspicious of the man who is always there with a helpful hand.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3ODU5OTUwMl5BMl5BanBnXkFtZTcwOTczNDU2Mg@@._V1_SX300.jpg,Screen Gems,PG-13,5.6/10,Internet Movie Database,16 Oct 2009,True,101 min,The Stepfather,movie,http://www.welcometothefamily.com/,2009,tt0814335,5.6,"25,799"
5435,Nominated for 1 Golden Globe. Another 7 wins & 53 nominations.,"Germany, Australia, USA",02 Mar 2010,Spike Jonze,English,71,"Yearning for escape and adventure, a young boy runs away from home and sails to an island filled with creatures that take him in as their king.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ1NzAwODEwM15BMl5BanBnXkFtZTcwNTE4MjI4Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,6.8/10,Internet Movie Database,16 Oct 2009,True,101 min,Where the Wild Things Are,movie,http://www.wherethewildthingsare.com/,2009,tt0386117,6.8,"93,159"
5438,N/A,"France, Canada",NOT_GIVEN,N/A,English,N/A,"The story is a prequel to the video game Assassin's Creed II. It centers around the father of the game's main character, Ezio Auditore da Firenze. Giovanni is an assassin living during the ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyOTEwMDY5OF5BMl5BanBnXkFtZTgwNDI4MDExMDE@._V1_SX300.jpg,NOT_GIVEN,NOT RATED,7.2/10,Internet Movie Database,26 Oct 2009,True,36 min,Assassin's Creed: Lineage,series,NOT_GIVEN,2009,tt1587390,7.2,"3,516"
5439,1 win & 4 nominations.,USA,16 Feb 2010,Scott Sanders,English,65,Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man it's up to him to find justice.,https://images-na.ssl-images-amazon.com/images/M/MV5BODMyM2JiYzMtODY3OS00ODExLTg0YzYtYWNlZTczMDUzY2I3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Sony Pictures,R,7.4/10,Internet Movie Database,13 Jan 2010,True,84 min,Black Dynamite,movie,http://www.blackdynamite.com/,2009,tt1190536,7.4,"39,466"
5442,N/A,USA,24 Nov 2009,Marcus Raboy,English,N/A,Two shady concert promoters (Cube and Epps) get into hot water when their chance to book a superstar rapper goes awry.,https://images-na.ssl-images-amazon.com/images/M/MV5BMWI1YjZhNWEtYzFiNC00MGY4LTkzODktNDlkOTM1MTdiN2QyXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg,Third Rail Releasing,R,5.3/10,Internet Movie Database,16 Oct 2009,True,85 min,The Janky Promoters,movie,N/A,2009,tt1210071,5.3,"1,210"
5443,Nominated for 1 Golden Globe. Another 34 wins & 21 nominations.,"Chile, Mexico",22 Jun 2010,Sebastián Silva,Spanish,82,A drama centered on a maid trying to hold on to her position after having served a family for 23 years.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwOTUxNDcxMl5BMl5BanBnXkFtZTcwMDU3MjI4Mg@@._V1_SX300.jpg,Elephant Eye Films,NOT RATED,7.3/10,Internet Movie Database,11 Mar 2011,True,95 min,The Maid,movie,http://www.themaidmovie.com/,2009,tt1187044,7.3,"5,072"
5446,1 nomination.,USA,12 Jan 2010,Franc. Reyes,English,N/A,"A NYPD detective attempts to avenge the death of her father, but unwittingly becomes involved with one of his killers.",https://images-na.ssl-images-amazon.com/images/M/MV5BODg0NjM3NTE1Nl5BMl5BanBnXkFtZTcwMTAxNDE4Mg@@._V1_SX300.jpg,Maya Releasing,R,4.5/10,Internet Movie Database,16 Oct 2009,True,89 min,The Ministers,movie,http://www.theministersmovie.com,2009,tt0880570,4.5,"1,196"
5447,N/A,Australia,13 Jul 2010,Eric Bana,English,N/A,"What if you were a Hollywood movie star with an obsession for cars and racing? You would probably read every script with even the tiniest link to the subject matter, in the hope that you ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwODQ1NjU5Ml5BMl5BanBnXkFtZTcwMzk0OTUyMg@@._V1_SX300.jpg,Madman Entertainment,R,7.5/10,Internet Movie Database,12 Mar 2009,True,92 min,Love the Beast,movie,N/A,2009,tt1284028,7.5,"1,897"
5449,3 wins & 4 nominations.,"USA, Canada",02 Feb 2010,Mira Nair,English,37,"A look at the life of legendary American pilot Amelia Earhart, who disappeared while flying over the Pacific Ocean in 1937 in an attempt to make a flight around the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NTI3MjA4M15BMl5BanBnXkFtZTcwMTM3Mzc3Mg@@._V1_SX300.jpg,Fox Searchlight Pictures,PG,5.8/10,Internet Movie Database,23 Oct 2009,True,111 min,Amelia,movie,http://www.foxsearchlight.com/amelia/,2009,tt1129445,5.8,"10,787"
5452,4 nominations.,"Hong Kong, USA, Japan",16 Mar 2010,David Bowers,English,53,"When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him the greatest hero of his time.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NTEwNTcxMl5BMl5BanBnXkFtZTcwMDEyMTE4Mg@@._V1_SX300.jpg,Summit Entertainment,PG,6.3/10,Internet Movie Database,23 Oct 2009,True,94 min,Astro Boy,movie,http://astroboy-themovie.com/,2009,tt0375568,6.3,"28,443"
5455,1 win.,USA,23 Feb 2010,Paul Weitz,English,43,Teenager Darren Shan meets a mysterious man at a freak show who turns out to be a vampire. After a series of events Darren must leave his normal life and go on the road with the Cirque du Freak and become a vampire.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NDA1MTMwNl5BMl5BanBnXkFtZTcwNTg0MDE4Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,5.9/10,Internet Movie Database,23 Oct 2009,True,109 min,Cirque du Freak: The Vampire's Assistant,movie,http://www.thevampiresassistant.net,2009,tt0450405,5.9,"38,412"
5458,2 nominations.,"Canada, USA, UK, Australia",26 Jan 2010,Kevin Greutert,English,30,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MzkzNTYyMl5BMl5BanBnXkFtZTcwOTg4MjE5Ng@@._V1_SX300.jpg,Lionsgate,R,6.0/10,Internet Movie Database,23 Oct 2009,True,90 min,Saw VI,movie,http://saw6film.com/,2009,tt1233227,6.0,"87,214"
5461,21 wins & 30 nominations.,"Denmark, Germany, France, Sweden, Italy, Poland",01 Mar 2010,Lars von Trier,English,49,"A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3MjQ2ODc1N15BMl5BanBnXkFtZTcwNjYyMzI5Mg@@._V1_SX300.jpg,IFC Films,NOT RATED,6.6/10,Internet Movie Database,20 May 2009,True,108 min,Antichrist,movie,http://www.antichristthemovie.com/?language=en,2009,tt0870984,6.6,"98,125"
5464,1 win.,USA,23 Feb 2010,Katherine Dieckmann,English,34,"In Manhattan, a mother of two preparing for her daughter's sixth birthday party has no idea of the challenges she's about to face in order to pull off the event.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0OTYwOTA2Ml5BMl5BanBnXkFtZTcwNDgxOTg3Mg@@._V1_SX300.jpg,Freestyle Releasing,PG-13,4.7/10,Internet Movie Database,28 Aug 2009,True,90 min,Motherhood,movie,http://www.motherhoodthefilm.com,2009,tt1220220,4.7,"3,877"
5467,2 wins.,USA,01 Jun 2010,Jonathan Parker,English,58,A Chelsea art gallerist falls for a brooding new music composer in this comic tale about the state of contemporary art.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwODE2OTYzMV5BMl5BanBnXkFtZTcwNDc3Mjg4Mg@@._V1_SX300.jpg,Samuel Goldwyn Films,R,6.3/10,Internet Movie Database,02 Jun 2011,True,96 min,(Untitled),movie,http://www.untitled-themovie.com/,2009,tt1132193,6.3,"1,960"
5470,N/A,USA,29 Dec 2009,Roel Reiné,English,N/A,"While on vacation, an American Marine sniper takes on local rebels who have seized control of the island hotel resort where he and his wife, who is now a hostage for ransom, have been staying.",https://ia.media-imdb.com/images/M/MV5BMTk1MzYxMTgyN15BMl5BanBnXkFtZTcwMTIzODAxMw@@._V1_SX300.jpg,Fox Home Entertainment,R,5.0/10,Internet Movie Database,29 Dec 2009,True,95 min,The Marine 2,movie,N/A,2009,tt1266027,5.0,"4,886"
5471,2 wins & 2 nominations.,"France, UK, USA",01 Apr 2010,"Andy Bichlbaum, Mike Bonanno, Kurt Engfehr(co-director)",English,71,"Troublemaking duo Andy Bichlbaum and Mike Bonanno, posing as their industrious alter-egos, expose the people profiting from Hurricane Katrina, the faces behind the environmental disaster in Bhopal, and other shocking events.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MzM2MjU0N15BMl5BanBnXkFtZTcwMDIyMDcxMw@@._V1_SX300.jpg,Cinetic Media,N/A,7.6/10,Internet Movie Database,07 Aug 2009,True,87 min,The Yes Men Fix the World,movie,http://www.theyesmen.org/movies/theyesmenfixtheworld,2009,tt1352852,7.6,"4,750"
5474,1 nomination.,USA,19 Oct 2010,Adam Gierasch,"English, Russian",N/A,"A group of kids go to a Halloween party, only to have to face down a group of demons.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2NDMxMzU2OF5BMl5BanBnXkFtZTcwNzcwODM3Mw@@._V1_SX300.jpg,Entertainment One,R,4.7/10,Internet Movie Database,26 May 2011,True,93 min,Night of the Demons,movie,http://www.nightofthedemons2010.com/,2009,tt1268809,4.7,"6,345"
5476,N/A,USA,N/A,Mark Polonia,English,N/A,"A college party is the stage for bloodshed and murder on Halloween Night, as a mistreated student exacts his revenge on those who wronged him. Using the effigy of a living scarecrow, his ...",N/A,N/A,N/A,5.5/10,Internet Movie Database,08 Oct 2009,True,85 min,HalloweeNight,movie,N/A,2009,tt1815731,5.5,21
5477,N/A,USA,09 Mar 2010,Troy Duffy,"English, Italian, Spanish",24,"The MacManus brothers are living a quiet life in Ireland with their father, but when they learn that their beloved priest has been killed by mob forces, they go back to Boston to bring justice to those responsible and avenge the priest.",https://ia.media-imdb.com/images/M/MV5BMTY4MDMxNzM2M15BMl5BanBnXkFtZTcwNjk5MzU5Mg@@._V1_SX300.jpg,Apparition,R,6.3/10,Internet Movie Database,11 Dec 2009,True,118 min,The Boondock Saints II: All Saints Day,movie,http://www.sonypictures.com/movies/boondocksaints2/,2009,tt1300851,6.3,"56,540"
5480,2 nominations.,USA,02 Mar 2010,Jared Hess,English,28,A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NDAzMDU4Ml5BMl5BanBnXkFtZTcwMDc3Mzc3Mg@@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,6.2/10,Internet Movie Database,27 May 2010,True,90 min,Gentlemen Broncos,movie,http://www.gentlemenbroncos.com/,2009,tt1161418,6.2,"9,803"
5483,3 wins & 6 nominations.,USA,02 Feb 2010,Ti West,English,73,"In 1983, financially struggling college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxMDAxODg5ODReQTJeQWpwZ15BbWU3MDI5ODYxODI@._V1_SX300.jpg,Magnolia Pictures,R,6.4/10,Internet Movie Database,04 May 2012,True,95 min,The House of the Devil,movie,http://www.magpictures.com/,2009,tt1172994,6.4,"34,077"
5486,N/A,USA,01 Feb 2011,Sara Ataiiyan,English,N/A,A woman staying at a homeless shelter encounters a disturbed teenage runaway.,N/A,Elysian Films,N/A,86%,Rotten Tomatoes,N/A,True,7 min,Skin,movie,http://www.skinthemovie.net/,2009,tt1597144,N/A,N/A
5487,6 nominations.,USA,23 Feb 2010,Richard Kelly,English,47,"A small wooden box arrives on the doorstep of a married couple, who know that opening it will grant them a million dollars and kill someone they don't know.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MDA5NjIwM15BMl5BanBnXkFtZTcwNTA2MjY0Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,5.6/10,Internet Movie Database,06 Nov 2009,True,115 min,The Box,movie,http://thebox-movie.warnerbros.com/,2009,tt0362478,5.6,"81,752"
5490,3 wins & 5 nominations.,USA,16 Nov 2010,Robert Zemeckis,English,55,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_SX300.jpg,Walt Disney Studios,PG,6.8/10,Internet Movie Database,06 Nov 2009,True,96 min,A Christmas Carol,movie,http://Disney.com/ChristmasCarol,2009,tt1067106,6.8,"84,734"
5493,1 nomination.,"USA, UK",16 Mar 2010,Olatunde Osunsanmi,"English, Aboriginal",34,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2OTM0NDEyM15BMl5BanBnXkFtZTcwNTAzMDY4Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,5.9/10,Internet Movie Database,06 Nov 2009,True,98 min,The Fourth Kind,movie,http://www.thefourthkind.net/,2009,tt1220198,5.9,"67,092"
5496,1 win & 1 nomination.,"USA, UK",23 Mar 2010,Grant Heslov,"English, Arabic",54,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwOTQwNzg1MV5BMl5BanBnXkFtZTcwODc4MDU4Mg@@._V1_SX300.jpg,Overture Films,R,6.2/10,Internet Movie Database,06 Nov 2009,True,94 min,The Men Who Stare at Goats,movie,http://www.themenwhostareatgoatsmovie.com/,2009,tt1234548,6.2,"116,990"
5499,11 wins & 4 nominations.,USA,01 Apr 2010,Scott Teems,English,75,"An aging Tennessee farmer returns to his homestead and must confront a family betrayal, the reappearance of an old enemy, and the loss of his farm.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzNDM3OTIyMV5BMl5BanBnXkFtZTcwNzc4NzA5Mg@@._V1_SX300.jpg,Freestyle Releasing,PG-13,7.1/10,Internet Movie Database,16 Mar 2009,True,109 min,That Evening Sun,movie,http://www.thateveningsun.com/,2009,tt1114680,7.1,"2,423"
5502,N/A,USA,N/A,Jonah Tulis,English,N/A,"An irreverent look inside the world of competitive ""Rock, Paper, Scissors."" Follow a stay-at-home Dad, a professional trash-talker and many others who vie for the title of champion.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzIwOTEwNjE1NV5BMl5BanBnXkFtZTcwMTk4ODc3Mg@@._V1_SX300.jpg,Gravitas,N/A,7.3/10,Internet Movie Database,06 Nov 2009,True,92 min,The Flying Scissors,movie,http://www.flyingscissors.com/,2009,tt0829427,7.3,50
